URL Entreprise;Nom Entreprise;Site Web;Adresse;Telephone;Statut Traitement
https://www.linkedin.com/company/hotel-les-sept-fontaines;Hotel Les Sept Fontaines;;;;Traite - Aucun profil trouve
https://www.linkedin.com/company/les-3-clefs-de-gaya;Les 3 Clefs De Gaya;;;;Traite - Aucun profil trouve
https://www.linkedin.com/company/splendid-hotel-spa-nice;Splendid Hotel Spa Nice;;;;Traite - Aucun profil trouve
https://www.linkedin.com/company/14021999;14021999;;;;Traite - Aucun profil trouve
https://www.linkedin.com/company/la-baronnie-hotel-spa;La Baronnie Hotel Spa;;;;Traite - Aucun profil trouve
https://www.linkedin.com/company/quintessia-resort;Quintessia Resort;;;;Traite - Aucun profil trouve
https://www.linkedin.com/company/30605973;30605973;;;;Traite - Aucun profil trouve
https://www.linkedin.com/company/segala-spa;Segala Spa;;;;Traite - Aucun profil trouve
